customerID,Contract,PaperlessBilling,PaymentMethod
7590-VHVEG,Month-to-month,Yes,Electronic check
5575-GNVDE,One year,No,Mailed check
3668-QPYBK,Month-to-month,Yes,Mailed check
7795-CFOCW,One year,No,Bank transfer (automatic)
9237-HQITU,Month-to-month,Yes,Electronic check
9305-CDSKC,Month-to-month,Yes,Electronic check
1452-KIOVK,Month-to-month,Yes,Credit card (automatic)
6713-OKOMC,Month-to-month,No,Mailed check
7892-POOKP,Month-to-month,Yes,Electronic check
6388-TABGU,One year,No,Bank transfer (automatic)
9763-GRSKD,Month-to-month,Yes,Mailed check
7469-LKBCI,Two year,No,Credit card (automatic)
8091-TTVAX,One year,No,Credit card (automatic)
0280-XJGEX,Month-to-month,Yes,Bank transfer (automatic)
5129-JLPIS,Month-to-month,Yes,Electronic check
3655-SNQYZ,Two year,No,Credit card (automatic)
8191-XWSZG,One year,No,Mailed check
9959-WOFKT,Two year,No,Bank transfer (automatic)
4190-MFLUW,Month-to-month,No,Credit card (automatic)
4183-MYFRB,Month-to-month,Yes,Electronic check
8779-QRDMV,Month-to-month,Yes,Electronic check
1680-VDCWW,One year,No,Bank transfer (automatic)
1066-JKSGK,Month-to-month,No,Mailed check
3638-WEABW,Two year,Yes,Credit card (automatic)
6322-HRPFA,Month-to-month,No,Credit card (automatic)
6865-JZNKO,Month-to-month,Yes,Bank transfer (automatic)
6467-CHFZW,Month-to-month,Yes,Electronic check
8665-UTDHZ,Month-to-month,No,Electronic check
5248-YGIJN,Two year,Yes,Credit card (automatic)
8773-HHUOZ,Month-to-month,Yes,Mailed check
3841-NFECX,Two year,Yes,Credit card (automatic)
4929-XIHVW,Month-to-month,Yes,Credit card (automatic)
6827-IEAUQ,One year,No,Mailed check
7310-EGVHZ,Month-to-month,No,Bank transfer (automatic)
3413-BMNZE,Month-to-month,No,Bank transfer (automatic)
6234-RAAPL,Two year,No,Bank transfer (automatic)
6047-YHPVI,Month-to-month,Yes,Electronic check
6572-ADKRS,Month-to-month,Yes,Credit card (automatic)
5380-WJKOV,Month-to-month,Yes,Electronic check
8168-UQWWF,Month-to-month,Yes,Bank transfer (automatic)
8865-TNMNX,One year,No,Mailed check
9489-DEDVP,Two year,Yes,Credit card (automatic)
9867-JCZSP,One year,No,Mailed check
4671-VJLCL,Two year,Yes,Credit card (automatic)
4080-IIARD,Month-to-month,Yes,Electronic check
3714-NTNFO,Month-to-month,Yes,Electronic check
5948-UJZLF,Month-to-month,No,Mailed check
7760-OYPDY,Month-to-month,Yes,Electronic check
7639-LIAYI,Two year,Yes,Credit card (automatic)
2954-PIBKO,Two year,Yes,Credit card (automatic)
8012-SOUDQ,Month-to-month,Yes,Electronic check
9420-LOJKX,Month-to-month,Yes,Credit card (automatic)
6575-SUVOI,Month-to-month,Yes,Credit card (automatic)
7495-OOKFY,Month-to-month,Yes,Credit card (automatic)
4667-QONEA,One year,Yes,Credit card (automatic)
1658-BYGOY,Month-to-month,Yes,Electronic check
8769-KKTPH,One year,Yes,Credit card (automatic)
5067-XJQFU,One year,Yes,Electronic check
3957-SQXML,Two year,No,Credit card (automatic)
5954-BDFSG,Two year,Yes,Credit card (automatic)
0434-CSFON,Month-to-month,Yes,Electronic check
1215-FIGMP,Month-to-month,Yes,Bank transfer (automatic)
0526-SXDJP,Two year,No,Bank transfer (automatic)
0557-ASKVU,One year,Yes,Credit card (automatic)
5698-BQJOH,Month-to-month,No,Electronic check
5122-CYFXA,Month-to-month,Yes,Electronic check
8627-ZYGSZ,One year,Yes,Electronic check
3410-YOQBQ,Two year,No,Mailed check
3170-NMYVV,Two year,No,Bank transfer (automatic)
7410-OIEDU,Month-to-month,Yes,Mailed check
2273-QCKXA,Month-to-month,No,Mailed check
0731-EBJQB,One year,Yes,Electronic check
1891-QRQSA,Two year,Yes,Bank transfer (automatic)
8028-PNXHQ,Two year,Yes,Bank transfer (automatic)
5630-AHZIL,Month-to-month,Yes,Bank transfer (automatic)
2673-CXQEU,One year,No,Electronic check
6416-JNVRK,One year,No,Credit card (automatic)
5590-ZSKRV,Month-to-month,No,Mailed check
0191-ZHSKZ,Month-to-month,Yes,Electronic check
3887-PBQAO,One year,Yes,Credit card (automatic)
5919-TMRGD,Month-to-month,Yes,Electronic check
8108-UXRQN,Month-to-month,No,Electronic check
9191-MYQKX,Month-to-month,Yes,Bank transfer (automatic)
9919-YLNNG,Month-to-month,Yes,Bank transfer (automatic)
0318-ZOPWS,Two year,Yes,Bank transfer (automatic)
4445-ZJNMU,Month-to-month,Yes,Credit card (automatic)
4808-YNLEU,One year,Yes,Bank transfer (automatic)
1862-QRWPE,Two year,No,Bank transfer (automatic)
2796-NNUFI,Two year,Yes,Mailed check
3016-KSVCP,Month-to-month,No,Mailed check
4767-HZZHQ,Month-to-month,No,Bank transfer (automatic)
2424-WVHPL,Month-to-month,No,Electronic check
7233-PAHHL,Two year,Yes,Mailed check
6067-NGCEU,Month-to-month,Yes,Credit card (automatic)
9848-JQJTX,Two year,Yes,Bank transfer (automatic)
8637-XJIVR,Month-to-month,Yes,Electronic check
9803-FTJCG,One year,Yes,Credit card (automatic)
0278-YXOOG,Month-to-month,No,Mailed check
3212-KXOCR,Two year,No,Bank transfer (automatic)
4598-XLKNJ,Month-to-month,Yes,Electronic check
6380-ARCEH,Month-to-month,No,Mailed check
3679-XASPY,Month-to-month,No,Electronic check
7123-WQUHX,One year,No,Bank transfer (automatic)
5386-THSLQ,One year,No,Bank transfer (automatic)
3192-NQECA,Two year,Yes,Bank transfer (automatic)
6180-YBIQI,Month-to-month,No,Mailed check
6728-DKUCO,One year,Yes,Electronic check
9750-BOOHV,One year,No,Mailed check
8597-CWYHH,One year,No,Mailed check
2848-YXSMW,Two year,No,Credit card (automatic)
0486-HECZI,Month-to-month,Yes,Electronic check
4549-ZDQYY,One year,No,Credit card (automatic)
5712-AHQNN,Month-to-month,Yes,Electronic check
4846-WHAFZ,Month-to-month,Yes,Electronic check
5256-SKJGO,Two year,Yes,Electronic check
3071-VBYPO,Month-to-month,No,Electronic check
9560-BBZXK,Two year,No,Bank transfer (automatic)
5299-RULOA,Month-to-month,Yes,Electronic check
8402-OOOHJ,Two year,No,Mailed check
9445-ZUEQE,Month-to-month,Yes,Credit card (automatic)
1091-SOZGA,One year,Yes,Credit card (automatic)
2928-HLDBA,Month-to-month,No,Mailed check
0404-SWRVG,Month-to-month,Yes,Electronic check
6497-TILVL,Month-to-month,No,Mailed check
7219-TLZHO,Month-to-month,No,Mailed check
4622-YNKIJ,Two year,Yes,Electronic check
4412-YLTKF,Month-to-month,Yes,Electronic check
6734-PSBAW,Two year,Yes,Bank transfer (automatic)
3930-ZGWVE,Month-to-month,No,Mailed check
2639-UGMAZ,One year,Yes,Electronic check
2876-GZYZC,Month-to-month,Yes,Electronic check
6207-WIOLX,Month-to-month,Yes,Credit card (automatic)
8587-XYZSF,Two year,No,Bank transfer (automatic)
3091-FYHKI,Month-to-month,Yes,Electronic check
2372-HWUHI,Month-to-month,No,Electronic check
7799-LGRDP,Two year,Yes,Credit card (automatic)
7850-VWJUU,Month-to-month,Yes,Bank transfer (automatic)
3774-VBNXY,Two year,No,Mailed check
6217-KDYWC,Two year,Yes,Mailed check
0390-DCFDQ,Month-to-month,Yes,Mailed check
3146-MSEGF,Two year,Yes,Credit card (automatic)
4080-OGPJL,Month-to-month,No,Electronic check
1095-WGNGG,Two year,Yes,Bank transfer (automatic)
2636-SJDOU,One year,Yes,Credit card (automatic)
1131-QQZEB,Two year,No,Bank transfer (automatic)
5716-EZXZN,Two year,Yes,Credit card (automatic)
6837-BJYDQ,One year,No,Mailed check
2135-RXIHG,Month-to-month,Yes,Electronic check
6440-DKQGE,One year,No,Credit card (automatic)
3466-BYAVD,Month-to-month,Yes,Mailed check
3780-YVMFA,Month-to-month,Yes,Electronic check
3874-EQOEP,Month-to-month,No,Mailed check
1679-JRFBR,One year,Yes,Credit card (automatic)
9073-ZZIAY,Two year,No,Electronic check
3077-RSNTJ,Month-to-month,No,Mailed check
6551-GNYDG,Month-to-month,Yes,Bank transfer (automatic)
9167-APMXZ,Month-to-month,Yes,Bank transfer (automatic)
2749-CTKAJ,One year,No,Mailed check
6371-NZYEG,Two year,No,Mailed check
7554-NEWDD,Two year,No,Bank transfer (automatic)
8992-VONJD,Month-to-month,Yes,Electronic check
0867-MKZVY,Month-to-month,No,Electronic check
4482-EWFMI,Month-to-month,Yes,Electronic check
4648-YPBTM,Two year,Yes,Bank transfer (automatic)
2907-ILJBN,One year,No,Mailed check
6345-FZOQH,Two year,No,Mailed check
3376-BMGFE,Month-to-month,Yes,Bank transfer (automatic)
5997-OPVFA,Two year,Yes,Bank transfer (automatic)
3445-HXXGF,Month-to-month,Yes,Electronic check
1159-WFSGR,Month-to-month,No,Electronic check
7654-YWJUF,One year,Yes,Bank transfer (automatic)
1875-QIVME,Month-to-month,Yes,Electronic check
6727-IOTLZ,Two year,No,Mailed check
0691-JVSYA,One year,Yes,Bank transfer (automatic)
5918-VUKWP,One year,No,Bank transfer (automatic)
1744-JHKYS,Month-to-month,No,Electronic check
2656-FMOKZ,Month-to-month,Yes,Mailed check
